"","id","region_2017"
"458",10001342,"Челябинская область"
"459",10001343,"Ханты-Мансийский автономный округ"
"460",10001344,"Челябинская область"
"461",10001345,"Челябинская область"
"462",10001348,"Челябинская область"
"463",10001350,"Челябинская область"
"464",10001351,"Челябинская область"
"465",10001354,"Ростовская область"
"466",10001355,NA
"467",10001358,"Карачаево-Черкесская Республика"
"468",10001361,"Ростовская область"
"469",10001363,NA
"470",10001364,"Краснодарский край"
"471",10001367,"Республика Дагестан"
"472",10001373,NA
"473",10001378,"Республика Саха (Якутия)"
"474",10001379,"Республика Саха (Якутия)"
"475",10001381,NA
"476",10001382,NA
"477",10001395,NA
"478",10001398,NA
"479",10001400,NA
"480",10001454,NA
"481",10001728,NA
"482",10001816,NA
"483",10001818,"Оренбургская область"
"484",10001819,"Орловская область"
"485",10001820,"Пермский край"
"486",10001821,"Камчатский край"
"487",10001822,"Саратовская область"
"488",10001824,NA
"489",10001825,NA
"490",10001826,"Республика Мордовия"
"491",10001827,NA
"492",10001828,"г.Санкт-Петербург"
"493",10001829,"Ставропольский край"
"494",10001830,"Новосибирская область"
"495",10001831,"Смоленская область"
"496",10001832,"Ленинградская область"
"497",10001833,"Ставропольский край"
"498",10001834,"Тамбовская область"
"499",10001835,NA
"500",10001836,"Тверская область"
"501",10001837,NA
"502",10001838,"Томская область"
"503",10001839,"Тульская область"
"504",10001840,NA
"505",10001841,"Ульяновская область"
"506",10001842,"Свердловская область"
"507",10001843,NA
"508",10001844,"Чувашская Республика"
"509",10001845,"Челябинская область"
"510",10001846,"Забайкальский край"
"511",10001847,"Ростовская область"
"512",10001848,NA
"513",10001849,"Волгоградская область"
"514",10001986,NA
"515",10002003,"Красноярский край"
"516",10002031,"Тюменская область"
"517",10002088,"Пермский край"
"518",10002091,NA
"519",10002097,"Красноярский край"
"520",10002098,"Краснодарский край"
"521",10002099,NA
"522",10002100,"Новосибирская область"
"523",10002101,NA
"524",10002133,"Краснодарский край"
"525",10002185,"Самарская область"
"526",10002416,"Ставропольский край"
"527",10002632,NA
"528",10002633,"Смоленская область"
"529",10002672,NA
"530",10002690,NA
"531",10002691,NA
"532",10002692,NA
"533",10002693,NA
"534",10002752,NA
"535",10003011,"Иркутская область"
"536",10003239,NA
"537",10003240,"Республика Хакасия"
"538",10003243,NA
"539",10003251,NA
"540",10003261,"Калужская область"
"541",10003264,NA
"542",10003267,"Пермский край"
"543",10003270,NA
"544",10003272,"Краснодарский край"
"545",10003273,"Ставропольский край"
"546",10003276,"Брянская область"
"547",10003277,"Самарская область"
"548",10003279,NA
"549",10003280,"Краснодарский край"
"550",10003281,NA
"551",10003282,"Кемеровская область"
"552",10003283,"Сахалинская область"
"553",10003288,NA
"554",10003291,"Ивановская область"
"555",10003301,NA
"556",10003304,NA
"557",10003305,"Краснодарский край"
"558",10003306,"Свердловская область"
"559",10003307,"Нижегородская область"
"560",10003308,"Томская область"
"561",10003309,"Челябинская область"
"562",10003310,"Ростовская область"
"563",10003313,"Воронежская область"
"564",10003317,NA
"565",10003318,"Волгоградская область"
"566",10003321,NA
"567",10003323,"Приморский край"
"568",10003326,NA
"569",10003327,"Приморский край"
"570",10003328,NA
"571",10003329,"Приморский край"
"572",10003330,"Приморский край"
"573",10003331,NA
"574",10003332,"Архангельская область"
"575",10003333,"Архангельская область"
"576",10003334,"Чукотский автономный округ"
"577",10003337,"Ульяновская область"
"578",10003401,"Краснодарский край"
"579",10003402,"Ростовская область"
"580",10003404,"Ямало-Ненецкий автономный округ"
"581",10003405,"Ханты-Мансийский автономный округ"
"582",10003406,"Тюменская область"
"583",10003407,"Ханты-Мансийский автономный округ"
"584",10003408,NA
"585",10003409,NA
"586",10003410,NA
"587",10003412,NA
"588",10003413,NA
"589",10003415,NA
"590",10003417,NA
"591",10003418,NA
"592",10003422,"Московская область"
"593",10003423,"Владимирская область"
"594",10003426,NA
"595",10003427,NA
"596",10003428,"Ульяновская область"
"597",10005007,"Калужская область"
"598",10006325,NA
"599",10006342,NA
"600",10006343,NA
"601",10006344,NA
"602",10006509,NA
"603",10006514,NA
"604",10006515,NA
"605",10006516,NA
"606",10006517,"Смоленская область"
"607",10006518,NA
"608",10006519,NA
"609",10006520,NA
"610",10006521,NA
"611",10006522,"Саратовская область"
"612",10006523,NA
"613",10006524,NA
"614",10006525,NA
"615",10006527,"Республика Татарстан"
"616",10006528,"Приморский край"
"617",10006529,"Московская область"
"618",10006530,"Республика Коми"
"619",10006531,"Ставропольский край"
"620",10006532,"Мурманская область"
"621",10006537,"Омская область"
"622",10006538,"Забайкальский край"
"623",10006539,NA
"624",10006540,"Астраханская область"
"625",10006541,"Республика Татарстан"
"626",10006542,NA
"627",10006543,"Пермский край"
"628",10006544,NA
"629",10006584,NA
"630",10006585,NA
"631",10006586,"Челябинская область"
"632",10006587,"Пермский край"
"633",10006590,NA
"634",10006591,"Курганская область"
"635",10006594,"Ульяновская область"
"636",10006595,"Томская область"
"637",10006596,NA
"638",10006597,NA
"639",10006598,NA
"640",10006599,"Рязанская область"
"641",10006600,NA
"642",10006601,NA
"643",10006602,NA
"644",10006603,NA
"645",10006604,NA
"646",10006605,NA
"647",10006606,NA
"648",10006607,NA
"649",10006614,NA
"650",10006618,NA
"651",10006622,"Нижегородская область"
"652",10006623,"Пермский край"
"653",10006624,"г.Санкт-Петербург"
"654",10006625,"Краснодарский край"
"655",10006628,NA
"656",10006629,NA
"657",10006632,"Воронежская область"
"658",10006633,NA
"659",10006634,"Архангельская область"
"660",10006635,NA
"661",10006636,NA
"662",10006637,"Хабаровский край"
"663",10006638,"Свердловская область"
"664",10006639,"Республика Бурятия"
"665",10006641,"Псковская область"
"666",10006642,"Мурманская область"
"667",10006643,"Республика Карелия"
"668",10006648,"Оренбургская область"
"669",10006649,"Республика Мордовия"
"670",10006650,"Оренбургская область"
"671",10006651,"Республика Башкортостан"
"672",10006657,NA
"673",10006661,NA
"674",10006662,NA
"675",10006667,NA
"676",10006668,NA
"677",10006669,"Ставропольский край"
"678",10006670,"Краснодарский край"
"679",10006673,"Калининградская область"
"680",10006674,NA
"681",10006682,"Ростовская область"
"682",10006685,"г.Севастополь"
"683",10006720,"Республика Адыгея"
"684",10006721,"Алтайский край"
"685",10006723,"Астраханская область"
"686",10006724,"Саратовская область"
"687",10006725,NA
"688",10006726,"Брянская область"
"689",10006727,"Владимирская область"
"690",10006728,"Вологодская область"
"691",10006729,"Воронежская область"
"692",10006730,"Ленинградская область"
"693",10006731,"Хабаровский край"
"694",10006732,"Нижегородская область"
"695",10006733,"Ивановская область"
"696",10006734,"Удмуртская Республика"
"697",10006735,"Иркутская область"
"698",10006736,"Калининградская область"
"699",10006738,"Калужская область"
"700",10006739,"Республика Карелия"
"701",10006740,"Кировская область"
"702",10006741,"Московская область"
"703",10006742,"Курганская область"
"704",10006743,"Челябинская область"
"705",10006744,NA
"706",10006745,"Мурманская область"
"707",10006746,"Новгородская область"
"708",10006747,"Приморский край"
"709",10006748,"Ростовская область"
"710",10006749,"г.Санкт-Петербург"
"711",10006751,NA
"712",10006752,NA
"713",10006753,"Тамбовская область"
"714",10006758,"Ростовская область"
"715",10006759,"Иркутская область"
"716",10006761,NA
"717",10006762,NA
"718",10006763,NA
"719",10006764,"Пермский край"
"720",10006765,"Нижегородская область"
"721",10006767,NA
"722",10006768,NA
"723",10006769,"Республика Саха (Якутия)"
"724",10006770,NA
"725",10006783,"Иркутская область"
"726",10006784,"Ростовская область"
"727",10006786,"Московская область"
"728",10006793,"Республика Саха (Якутия)"
"729",10006794,"Омская область"
"730",10006796,"Хабаровский край"
"731",10006797,NA
"732",10006798,NA
"733",10006802,NA
"734",10006805,"Хабаровский край"
"735",10006807,"Удмуртская Республика"
"736",10006808,"Иркутская область"
"737",10006809,"Калужская область"
"738",10006810,"Республика Татарстан"
"739",10006811,"Саратовская область"
"740",10006812,"Ростовская область"
"741",10006813,"Республика Карелия"
"742",10006814,"г.Санкт-Петербург"
"743",10006815,"Республика Дагестан"
"744",10006816,"Республика Мордовия"
"745",10006817,"Тульская область"
"746",10006819,"Амурская область"
"747",10006820,"Амурская область"
"748",10006821,"Приморский край"
"749",10006822,"Сахалинская область"
"750",10006823,NA
"751",10006828,NA
"752",10006830,NA
"753",10006831,"Республика Татарстан"
"754",10006832,NA
"755",10006833,NA
"756",10006835,NA
"757",10006838,NA
"758",10006841,"Чукотский автономный округ"
"759",10006842,NA
"760",10006843,NA
"761",10006844,"Ленинградская область"
"762",10006845,"Республика Дагестан"
"763",10006846,NA
"764",10006847,NA
"765",10006848,"Вологодская область"
"766",10006849,NA
"767",10006850,"Новгородская область"
"768",10006851,NA
"769",10006852,"Псковская область"
"770",10006853,NA
"771",10006860,NA
"772",10006861,NA
"773",10006862,NA
"774",10006863,"Воронежская область"
"775",10006864,NA
"776",10006865,NA
"777",10006866,NA
"778",10006867,"Калининградская область"
"779",10006868,NA
"780",10006869,NA
"781",10006872,NA
"782",10006873,"Нижегородская область"
"783",10006875,NA
"784",10006876,"Саратовская область"
"785",10006878,NA
"786",10006879,NA
"787",10006880,"Смоленская область"
"788",10006884,NA
"789",10006886,"Ярославская область"
"790",10006887,"Ивановская область"
"791",10006888,NA
"792",10006891,NA
"793",10006892,NA
"794",10006893,NA
"795",10006895,"Брянская область"
"796",10006898,NA
"797",10006902,"Кемеровская область"
"798",10006903,"Республика Дагестан"
"799",10006904,"Республика Дагестан"
"800",10006905,"Республика Дагестан"
"801",10006907,NA
"802",10006913,NA
"803",10006914,"Липецкая область"
"804",10006915,NA
"805",10006916,"Тамбовская область"
"806",10006917,"Московская область"
"807",10006918,"Республика Татарстан"
"808",10006919,"Республика Татарстан"
"809",10006920,NA
"810",10006921,"Пензенская область"
"811",10006922,NA
"812",10006923,"Самарская область"
"813",10006924,NA
"814",10006925,"Омская область"
"815",10006926,"Курганская область"
"816",10006927,"Республика Башкортостан"
"817",10006928,NA
"818",10006929,NA
"819",10006930,NA
"820",10006931,NA
"821",10006932,"Ростовская область"
"822",10006933,"Тюменская область"
"823",10006934,"Свердловская область"
"824",10006935,"Республика Бурятия"
"825",10006936,"Забайкальский край"
"826",10006937,"Красноярский край"
"827",10006938,NA
"828",10006939,"Красноярский край"
"829",10006940,"Калужская область"
"830",10006941,NA
"831",10006942,NA
"832",10006943,"Иркутская область"
"833",10006944,"Краснодарский край"
"834",10006945,"Иркутская область"
"835",10006946,"Хабаровский край"
"836",10006947,"Томская область"
"837",10006948,"Республика Татарстан"
"838",10006949,"Нижегородская область"
"839",10006950,"Ростовская область"
"840",10006951,"г.Санкт-Петербург"
"841",10006952,"Челябинская область"
"842",10006953,"Воронежская область"
"843",10006954,"Алтайский край"
"844",10006955,"Брянская область"
"845",10006956,"Владимирская область"
"846",10006957,NA
"847",10006958,NA
"848",10006959,"Краснодарский край"
"849",10006960,"Курская область"
"850",10006961,"Липецкая область"
"851",10006962,"Краснодарский край"
"852",10006963,"Орловская область"
"853",10006964,"Пензенская область"
"854",10006965,"Смоленская область"
"855",10006966,"Тульская область"
"856",10006967,"Республика Башкортостан"
"857",10006968,"Челябинская область"
"858",10006969,"Ярославская область"
"859",10006970,"Республика Северная Осетия-Алания"
"860",10006971,"Калужская область"
"861",10006972,"Омская область"
"862",10006973,"г.Санкт-Петербург"
"863",10006974,NA
"864",10006975,NA
"865",10006976,NA
"866",10006977,NA
"867",10006978,NA
"868",10006979,NA
"869",10006980,NA
"870",10006981,NA
"871",10006982,NA
"872",10006983,NA
"873",10006984,NA
"874",10006985,NA
"875",10006986,NA
"876",10006987,"Вологодская область"
"877",10006988,"г.Москва"
"878",10006989,NA
"879",10006990,NA
"880",10006992,NA
"881",10006993,NA
"882",10006994,NA
"883",10006995,NA
"884",10006997,"Ставропольский край"
"885",10006998,"Ставропольский край"
"886",10006999,"Ростовская область"
"887",10007005,NA
"888",10007006,NA
"889",10007007,NA
"890",10007015,NA
"891",10007016,NA
"892",10007017,NA
"893",10007018,NA
"894",10007027,NA
"895",10007029,"Самарская область"
"896",10007036,NA
"897",10007037,NA
"898",10007043,NA
"899",10007044,NA
"900",10007045,NA
"901",10007046,NA
"902",10007047,NA
"903",10007048,NA
"904",10007049,NA
"905",10007050,NA
"906",100256,"г.Санкт-Петербург"
"907",100345,"г.Москва"
"908",101,"Владимирская область"
"909",10110172,"Орловская область"
"910",10110270,NA
"911",10110303,NA
"912",10110306,NA
"913",10110307,NA
"914",10110311,NA
"915",10110312,NA
"916",10110322,"Кировская область"
"917",10110343,NA
"918",10110356,NA
"919",10110385,NA
"920",10110397,NA
"921",10110405,"Брянская область"
"922",10110440,NA
"923",10110442,NA
"924",10110443,"Саратовская область"
"925",10110445,NA
"926",10110446,"Смоленская область"
"927",10110448,NA
"928",10110449,NA
"929",10110450,NA
"930",10110451,NA
"931",10110452,"Тамбовская область"
"932",10110455,"Республика Бурятия"
"933",10110457,"Республика Башкортостан"
"934",10110458,NA
"935",10110459,"Хабаровский край"
"936",10110460,NA
"937",10110462,NA
"938",10110902,"Магаданская область"
"939",10110903,NA
"940",10110906,"Челябинская область"
"941",102,NA
"942",103,"Хабаровский край"
